Paper Title,Multimodal Information Extraction,Multimodal Information Extraction (score),Multimodal Information Extraction (sentence),Semantic Alignment with BIM/IFC,Semantic Alignment with BIM/IFC (score),Semantic Alignment with BIM/IFC (sentence),Formalisation of Regulatory Text,Formalisation of Regulatory Text (score),Formalisation of Regulatory Text (sentence),Rule Representation and Reasoning,Rule Representation and Reasoning (score),Rule Representation and Reasoning (sentence),Integration of Ontologies and Knowledge Graphs,Integration of Ontologies and Knowledge Graphs (score),Integration of Ontologies and Knowledge Graphs (sentence),Model–Driven Compliance Intelligence,Model–Driven Compliance Intelligence (score),Model–Driven Compliance Intelligence (sentence),Explainability and Trust in AI Systems,Explainability and Trust in AI Systems (score),Explainability and Trust in AI Systems (sentence),Human-in-the-Loop Approaches,Human-in-the-Loop Approaches (score),Human-in-the-Loop Approaches (sentence),Evaluation and Benchmarking,Evaluation and Benchmarking (score),Evaluation and Benchmarking (sentence),Tool Development and Real-World Application,Tool Development and Real-World Application (score),Tool Development and Real-World Application (sentence)
H. Liu et al. 2023,partially addressed,0.585,"zhang, semantic rule-checking for regulation compliance checking: in: 32rd international cib w78 an overview of strategies and approaches, conference, 2015",directly addressed,0.719,the mvd ruleset can be used in automatically validating the compliance of the bim data against the exchange requirements and rule constraints,directly addressed,0.724,"kasim, a rule-based semantic approach for automated regulatory compliance in the construction sector, expert syst",directly addressed,0.72,"kasim, a rule-based semantic approach for automated regulatory compliance in the construction sector, expert syst",partially addressed,0.627,"zhang, semantic rule-checking for regulation compliance checking: in: 32rd international cib w78 an overview of strategies and approaches, conference, 2015",partially addressed,0.553,"kasim, a rule-based semantic approach for automated regulatory compliance in the construction sector, expert syst",partially addressed,0.661,"zhang, semantic rule-checking for regulation compliance checking: in: 32rd international cib w78 an overview of strategies and approaches, conference, 2015",not addressed,0.494,"kasim, a rule-based semantic approach for automated regulatory compliance in the construction sector, expert syst",partially addressed,0.53,"zhang, semantic rule-checking for regulation compliance checking: in: 32rd international cib w78 an overview of strategies and approaches, conference, 2015",partially addressed,0.585,a comparison of the reviewed tools for automatic bim data conformance validation tools is listed in table 1
H. Sun and L. Kim 2022,partially addressed,0.533,"keywords: building information modeling, automated code compliance checking, artificial intelligence, industry founda- tion classes (ifc), bim object recognition, visible property recognition",partially addressed,0.669,interoperability tests of ifc property information for open bim based quality assurance,partially addressed,0.592,translating building legislation into a computer executable format for evaluating building permit requirements,partially addressed,0.58,the authors explore the application of ai for the two necessary elements (bim object name and properties) in automated code compliance checking,partially addressed,0.536,semantic information align- ment of bims to computer-interpretable regulations using ontologies and deep learning,partially addressed,0.586,semantic information align- ment of bims to computer-interpretable regulations using ontologies and deep learning,partially addressed,0.618,"therefore, the authors herein propose a method of using ai to recognize visual properties, in order to provide the relevant information for automated code compliance checking and to realize a more practical automated code checking approach",partially addressed,0.511,development of an object model for auto- mated compliance checking,partially addressed,0.65,"various automated code compliance checking systems have emerged, wherein users need to in- put all information accurately according to bim modeling guidelines, in order to ensure the accuracy of checking results",directly addressed,0.778,"various automated code compliance checking systems have emerged, wherein users need to in- put all information accurately according to bim modeling guidelines, in order to ensure the accuracy of checking results"
H. Ying and R. Sacks 2024,partially addressed,0.632,semantic nlp-based information extraction from construction regulatory documents for automated compliance checking,directly addressed,0.761,simplified schema queries for supporting bim-based rule-checking applications,partially addressed,0.693,unpacking ambiguity in building requirements to support automated compliance checking,partially addressed,0.699,multi-ontology fusion and rule development to facilitate automated code compliance checking using bim and rule-based reasoning,partially addressed,0.696,multi-ontology fusion and rule development to facilitate automated code compliance checking using bim and rule-based reasoning,partially addressed,0.622,"recent advances in ai, particularly with large language models (llms) such as gpt-4 (openai 2024) and llama 3 (meta 2024), offer significant potential for developing a generic compliance checking system",partially addressed,0.683,the compliance checking module will be upgraded to a multi-agent system to address complex requirements and enhance reporting for 3d visualization of the checking results,partially addressed,0.543,"recent advances in ai, particularly with large language models (llms) such as gpt-4 (openai 2024) and llama 3 (meta 2024), offer significant potential for developing a generic compliance checking system",partially addressed,0.649,a compliance checking process contains two main steps: (1) interpreting design requirements from texts into computational rules and (2) preparing high-quality and accessible bim data for rule execution (eastman et al 2009),directly addressed,0.73,a compliance checking process contains two main steps: (1) interpreting design requirements from texts into computational rules and (2) preparing high-quality and accessible bim data for rule execution (eastman et al 2009)
I. Huitzil et al. 2022,partially addressed,0.569,"zahng and el-gohary use a rule-based, semantic natural language processing ap- proach to extract norms in rst-order logic from various construction regulatory docu- ments in order to develop a compliance checking system [8,9]",directly addressed,0.725,also proposed a framework for automated compliance checking based on bim [11],directly addressed,0.72,"building information modeling, building regulations, ontologies, rule-compliance checking 1",partially addressed,0.663,"zahng and el-gohary use a rule-based, semantic natural language processing ap- proach to extract norms in rst-order logic from various construction regulatory docu- ments in order to develop a compliance checking system [8,9]",partially addressed,0.637,"our approach represents rules as denitions in an owl2 ontology, and we explored the use of controlled natural languages for rule specication",partially addressed,0.524,also proposed a framework for automated compliance checking based on bim [11],partially addressed,0.64,"finally, our prototype offers to the end-users a verication report in text and a graphical visualiser with the results of the compliance check",partially addressed,0.506,"el-gohary, automated information transformation for automated regulatory compliance checking in construction, journal of computing in civil engineering 29 (2015) 116",partially addressed,0.674,also proposed a framework for automated compliance checking based on bim [11],directly addressed,0.833,also proposed a framework for automated compliance checking based on bim [11]
J. Anim et al. 2024,partially addressed,0.608,extraction of construction regulatory requirements from textual documents using natural language processing techniques,partially addressed,0.647,automated code compliance checking research based on bim and knowledge graph,directly addressed,0.722,a semantic approach for automated rule compliance checking in construction industry,directly addressed,0.726,semantic rule-checking for regulation compliance checking: an overview of strategies and approaches,partially addressed,0.686,"the rest of this paper is organized as follows: section 2 discusses the case study used in this paper to exemplify the need for formalizing compliance checking on rdf data via shacl-sparql instead of owl, while section 3 describes the methodology we employed in developing and evaluating the legal ontology built for this case study",partially addressed,0.583,integrating nlp and context-free grammar for complex rule interpretation towards automated compliance checking,partially addressed,0.662,semantic rule-checking for regulation compliance checking: an overview of strategies and approaches,partially addressed,0.631,"as a result of the gradual increase in popularity of these ai approaches, research into the automation of compliance checking has been conducted across a few domains that require compliance checking",partially addressed,0.676,"in the last decade, automated compliance checking (acc) has received lots of attention from the scientific community [1,2], in particular from the scientific community working in artificial intelligence (ai) [3,4]",directly addressed,0.762,uk abstract: automated compliance checking (acc) has emerged as a critical tool for enforcing legal regulations across various domains
J. Chen and Y. Bao 2025,partially addressed,0.512,the extraction process transforms un- structured natural language into structured parameter sets that can be processed by downstream specialized agents,not addressed,0.484,"when provided with specifica- tions of an existing structure, this agent processes the information to conduct code-compliant evaluations, interfacing with specialized tools to verify compliance with both strength and serviceability criteria",partially addressed,0.559,the proposed system augments traditional workflows by automating calculations while maintaining compliance with codes,partially addressed,0.573,"the culmination of either path leads to solutions that are both technically precise and understandable, representing an approach that integrates regulatory requirements with ai capabilities to achieve both code compliance and intuitive user interaction",not addressed,0.475,this dual-nature knowledge repository is crucial to the frameworks reliability,not addressed,0.464,this paper presents a large language model (llm) framework to automate code- compliant design and achieve interpretability and verifiability,partially addressed,0.579,"the culmination of either path leads to solutions that are both technically precise and understandable, representing an approach that integrates regulatory requirements with ai capabilities to achieve both code compliance and intuitive user interaction",partially addressed,0.572,"the expert consultation agent facilitated follow-up refinement, completing the coordination cycle",partially addressed,0.603,"evaluation check tools: function as counterparts to each design tool, taking existing design parameters as inputs to verify compliance with code requirements",partially addressed,0.7,integrated code compliance: the system performs real-time checks against relevant design standards to ensure continuous code compliance through all design iterations
J. Lee et al. 2023,partially addressed,0.632,semantic nlp-based information extraction from construction regulatory documents for automated compliance checking,partially addressed,0.697,classification of rules for automated bim rule checking development,directly addressed,0.756,a rule-based semantic approach for automated regulatory compliance in the construction sector,directly addressed,0.723,a rule-based semantic approach for automated regulatory compliance in the construction sector,directly addressed,0.739,"by employing ontology-based models, such approaches enable the development of comprehensive and accurate representations of intricate regulatory frameworks, and facilitate the automated checking of compliance against these regulations (wang et al",partially addressed,0.596,a design for safety (dfs) semantic framework development based on natural language processing (nlp) for automated compliance checking using bim: the case of china,partially addressed,0.663,development of an object model for automated compliance checking,partially addressed,0.534,development of an object model for automated compliance checking,partially addressed,0.679,development of an object model for automated compliance checking,directly addressed,0.766,development of an object model for automated compliance checking
J. Peng and X. Lu 2023,partially addressed,0.632,semantic nlp-based information extraction from construction regulatory documents for automated compliance checking,directly addressed,0.761,simplified schema queries for supporting bim-based rule-checking applications,partially addressed,0.688,multi-ontology fusion and rule development to facilitate automated code compliance checking using bim and rule-based reasoning,partially addressed,0.699,multi-ontology fusion and rule development to facilitate automated code compliance checking using bim and rule-based reasoning,partially addressed,0.696,multi-ontology fusion and rule development to facilitate automated code compliance checking using bim and rule-based reasoning,partially addressed,0.584,a design for safety (dfs) semantic framework development based on natural language processing (nlp) for auto- mated compliance checking using bim: the case of china,partially addressed,0.663,development of an object model for automated compliance checking,partially addressed,0.569,"com/scientificreports/ conclusion automated compliance checking is a key item in the current reform of the construction engineering industry, who has changed the previous mode of relying on manual review, liberating manpower while making the review more accurate and efficient",partially addressed,0.69,"given the complexity of engi- neering, manual compliance checking is time-consuming, costly and error-prone, and automated code checking (acc) can reduce time and costs and improve the quality of reviews",directly addressed,0.766,development of an object model for automated compliance checking
J. Wu 2023,partially addressed,0.632,semantic nlp-based information extraction from construction regulatory documents for automated compliance checking,directly addressed,0.716,"(sydora and stroulia, 2020) proposed a rule-based language for describing building regulatory requirements in a bim environment",directly addressed,0.756,a rule-based semantic approach for automated regulatory compliance in the construction sector,directly addressed,0.723,a rule-based semantic approach for automated regulatory compliance in the construction sector,partially addressed,0.637,a rule-based semantic approach for automated regulatory compliance in the construction sector,partially addressed,0.554,a rule-based semantic approach for automated regulatory compliance in the construction sector,partially addressed,0.646,"to represent the checking result, a list is generated for each rule to store the compliance and non-compliance cases corresponding to that rule",partially addressed,0.526,"keywords: automated compliance checking, building codes, invariant signature, building information modeling (bim), natural language processing, logic reasoning",directly addressed,0.709,"to address the heavy manual efforts required in the automated compliance checking system development, the authors propose to build a new integrated and comprehensive framework for automated code compliance checking system framework",directly addressed,0.791,"to address the heavy manual efforts required in the automated compliance checking system development, the authors propose to build a new integrated and comprehensive framework for automated code compliance checking system framework"
J. Wu and J. Zhang 2022,partially addressed,0.598,"step 2: identify and classify target concepts the target concepts are extracted from logic rules that are in turn generated from building codes (regulations) using the state-of-the-art regulatory information extraction and transformation algorithms (zhang and el-gohary 2015, 2016b)",directly addressed,0.732,xu and cai (2020) proposed to convert bim data to an ontology for matching/checking with spatial constraints in utilities regulatory documents,directly addressed,0.718,semantic-based logic representation and reasoning for automated regulatory compliance checking,directly addressed,0.76,semantic-based logic representation and reasoning for automated regulatory compliance checking,partially addressed,0.692,semantic-based logic representation and reasoning for automated regulatory compliance checking,partially addressed,0.546,semantic-based logic representation and reasoning for automated regulatory compliance checking,partially addressed,0.668,they can be used to support the later compliance checking stage by instantiating logic rules for automated reasoning execution,partially addressed,0.556,"to allow the full automation of the model compliance checking process, several efforts have been made",partially addressed,0.652,"compared with the traditional method of manual building code compliance checking, automated compliance checking (acc) that utilizes bim technologies is expected to be more efficient in time and cost, and tends to generate fewer errors (nguyen and kim 2011)",directly addressed,0.793,"compared with the traditional method of manual building code compliance checking, automated compliance checking (acc) that utilizes bim technologies is expected to be more efficient in time and cost, and tends to generate fewer errors (nguyen and kim 2011)"
J. Wu et al. 2025,directly addressed,0.734,"diverse methods, such as natural language processing (nlp) [16, 17], prompt engineering [18], and other data-driven methods [19], have been employed to transfer regulatory information into computer- readable rules and enable automated code checking",directly addressed,0.734,using bim to automate design checking against regulatory obligations has been a research focus for many years [5],partially addressed,0.654,conceptual graphs are used to unambigu- ously describe the regulatory knowledge [32] and to transfer it among actors in code compliance checking [33],partially addressed,0.653,"diverse methods, such as natural language processing (nlp) [16, 17], prompt engineering [18], and other data-driven methods [19], have been employed to transfer regulatory information into computer- readable rules and enable automated code checking",partially addressed,0.641,conceptual graphs are used to unambigu- ously describe the regulatory knowledge [32] and to transfer it among actors in code compliance checking [33],partially addressed,0.542,"formulating a robust, computationally accessible representation to capture non-compliance-related components within the bim model",partially addressed,0.625,"dimyadi, the promise of automated compliance checking, dev",partially addressed,0.573,"dimyadi, the promise of automated compliance checking, dev",partially addressed,0.676,"dimyadi, the promise of automated compliance checking, dev",directly addressed,0.758,"iahad, a review on bim-based automated code compliance checking system, in: international conference on research and innovation in information systems, icriis, ieee, 2017, http://dx"
J. Zhang 2023,partially addressed,0.648,natural language processing for automated regulatory and contractual document analysis,partially addressed,0.558,automated information extraction from construction-related regulatory documents for automated compliance checking,partially addressed,0.696,"invariant signature, logic reasoning, and semantic natural language processing (nlp)-based automated building code compliance checking (i-snacc) framework",partially addressed,0.646,"the tool used to generate logic programs is the most recent version of the semantic nlp-based automated compliance checking (snacc) system which was initially described in [28,29] and has been constantly refined with more training data [30]",partially addressed,0.638,"the tool used to generate logic programs is the most recent version of the semantic nlp-based automated compliance checking (snacc) system which was initially described in [28,29] and has been constantly refined with more training data [30]",partially addressed,0.625,the most recent semantic nlp-based automated compliance checking (snacc) system was comparatively evaluated with gptchat in converting each of the regulatory requirement,partially addressed,0.577,"the tool used to generate logic programs is the most recent version of the semantic nlp-based automated compliance checking (snacc) system which was initially described in [28,29] and has been constantly refined with more training data [30]",partially addressed,0.539,in converting keywords  automated building code compliance checking; ai; chatgpt; snacc; natural language processing 1 introduction automated building code compliance checking has been one promising application of artificial intelligence (ai) since its inception,partially addressed,0.656,"the manual compliance checking operation is time-consuming, costly, and subjective/error-prone [3,4]",directly addressed,0.728,such efforts are considered critical to full automation of code compliance checking systems
K. Johansen et al. 2024,partially addressed,0.6,compliance checking can be done by formalizing natural language rules and building model knowledge,partially addressed,0.693,"the usage of bim, and especially openbim, allows for, in addition to semantic information, geometry extraction and in combination with a spatial query language, it is possible to automate compliance checking of rules that rely on geometric properties [11,41]",directly addressed,0.715,compliance checking can be done by formalizing natural language rules and building model knowledge,partially addressed,0.692,compliance checking can be done by formalizing natural language rules and building model knowledge,partially addressed,0.654,"as all rule-based approaches are initiated with formalizing the domain, much effort has been put into creating ontologies to facilitate the formalization procedure for different areas of code compliance checking applications [10,40,4245]",partially addressed,0.562,compliance checking can be done by formalizing natural language rules and building model knowledge,partially addressed,0.698,compliance checking can be done by formalizing natural language rules and building model knowledge,partially addressed,0.573,"dimyadi, the promise of automated compliance checking, dev",directly addressed,0.716,"therefore, it is strongly rec- ommended that an automated compliance checking system like the one proposed is used as a second opinion tool until an extensive amount of classification has been performed successfully and trust has been built",directly addressed,0.728,"dimyadi, the promise of automated compliance checking, dev"
K. Johansen et al. 2025,partially addressed,0.529,"park, leveraging large language models for enhanced construction safety regulation extraction, itcon 29 (2024) 10261038, https://doi",partially addressed,0.541,"the other is to define an ontology to capture the bim, schedule, and safety analysis result infor- mation in a knowledge graph that can be queried for extraction of domain knowledge",partially addressed,0.621,"amor, improving the semantic parsing of building regulations through intermediate representations, 30th eg-ice international workshop, 2023",not addressed,0.487,"martin, programming expert systems in ops5: an introduction to rule-based programming, addison-wesley longman publishing co",partially addressed,0.664,"the other is to define an ontology to capture the bim, schedule, and safety analysis result infor- mation in a knowledge graph that can be queried for extraction of domain knowledge",not addressed,0.497,"park, leveraging large language models for enhanced construction safety regulation extraction, itcon 29 (2024) 10261038, https://doi",partially addressed,0.512,re- searchers investigated different strategies to support compliance checking (a,partially addressed,0.59,"therefore, humans must be brought into the loop, and the identified compliance issues must be presented clearly and concisely to the practitioners to avoid over- whelming them",partially addressed,0.591,"similar challenges exist in cost estimation, schedule evaluation, progress monitoring, and quality compliance checking",partially addressed,0.555,"similar challenges exist in cost estimation, schedule evaluation, progress monitoring, and quality compliance checking"
L. Hao et al. 2024,partially addressed,0.632,semantic nlp-based information extraction from construction regulatory documents for automated compliance checking,directly addressed,0.711,[27] developed coding rules to translate bim information and standards into a specific regulatory knowledge query language for content alignment and reasoning,partially addressed,0.69,multi-ontology fusion and rule development to facilitate automated code compliance checking using blm and rule-based reasoning,partially addressed,0.674,multi-ontology fusion and rule development to facilitate automated code compliance checking using blm and rule-based reasoning,directly addressed,0.703,multi-ontology fusion and rule development to facilitate automated code compliance checking using blm and rule-based reasoning,partially addressed,0.67,further studies are required to combine deep learning methods with automated compliance reasoning tasks,partially addressed,0.646,modelling and accessing regulatory knowledge for computer-assisted compliance audit,partially addressed,0.574,further studies are required to combine deep learning methods with automated compliance reasoning tasks,directly addressed,0.718,only a few studies have conducted a comprehensive evaluation of compliance checking tasks,partially addressed,0.689,[11] delved into the automation of compliance checking and improved the overall process
L. Jia et al. 2025,partially addressed,0.626,"keywords: building information modeling; semantic web; ontology; compliance checking; natural language processing received: 19 june 2025 revised: 14 july 2025 accepted: 24 july 2025 published: 25 july 2025 citation: jia, l",directly addressed,0.815,a semantic web and ifc-based framework for automated bim compliance checking,directly addressed,0.702,rule language one of the most challenging tasks in the process of automated compliance checking is the interpretation of rules,directly addressed,0.732,rule language one of the most challenging tasks in the process of automated compliance checking is the interpretation of rules,directly addressed,0.711,"in addition, some specialized semantic web rules, such as swqrl [34], shacl [35], and n3logic language [36], are also widely applied for automated compliance checking",partially addressed,0.596,a design for safety (dfs) semantic framework development based on natural language processing (nlp) for automated compliance checking using bim: the case of china,directly addressed,0.715,rule language one of the most challenging tasks in the process of automated compliance checking is the interpretation of rules,partially addressed,0.563,rule language one of the most challenging tasks in the process of automated compliance checking is the interpretation of rules,directly addressed,0.761,"although existing research has made significant progress in automated compliance checking, these technologies still face challenges in terms of scalability and efficiency",directly addressed,0.846,"[12] proposed a framework for an automated compliance checking system in a bim environment, covering aspects such as design specification classification, model preparation, rule conversion, and system design"
L. Jiang et al. 2022-2,partially addressed,0.629,"the rule interpretation phase, which translates the regulatory codes into a machine-readable language, is the starting point and the core task of the automated compliance checking process",directly addressed,0.71,section 3 proposes a framework for the automatic compliance checking platform based on bim and ontology and presents brief introductions to five main functional modules of the platform,directly addressed,0.736,"in general, based on the regulatory ontology, ifcowl, and rule lan- guage, the prototype of a fully semantic environment for automated compliance checking has unfolded",directly addressed,0.738,rule language for regulatory documents one of the most challenging issues in automated code compliance checking is rule interpretation,directly addressed,0.721,"in general, based on the regulatory ontology, ifcowl, and rule lan- guage, the prototype of a fully semantic environment for automated compliance checking has unfolded",partially addressed,0.579,"in general, based on the regulatory ontology, ifcowl, and rule lan- guage, the prototype of a fully semantic environment for automated compliance checking has unfolded",partially addressed,0.66,rule language for regulatory documents one of the most challenging issues in automated code compliance checking is rule interpretation,partially addressed,0.54,"in general, based on the regulatory ontology, ifcowl, and rule lan- guage, the prototype of a fully semantic environment for automated compliance checking has unfolded",partially addressed,0.669,part of the checking results presented by the automated code compliance checking platform,directly addressed,0.772,section 3 proposes a framework for the automatic compliance checking platform based on bim and ontology and presents brief introductions to five main functional modules of the platform
L. Jiang et al. 2022,partially addressed,0.61,[27] converted rase tags into swrl (semantic web rule language) to achieve semantic rule-based au- tomated regulatory compliance checking,directly addressed,0.737,"in practice, especially in automated code compliance checking, once bim information is organized in the same structure as the clause-entity knowledge graph, the checking rules can be executed to generate checking results",directly addressed,0.756,a rule-based semantic approach for automated regulatory compliance in the construction sector,directly addressed,0.723,a rule-based semantic approach for automated regulatory compliance in the construction sector,partially addressed,0.696,multi-ontology fusion and rule development to facilitate automated code compliance checking using bim and rule-based reasoning,partially addressed,0.583,integrating nlp and context-free grammar for complex rule interpretation towards automated compliance checking,partially addressed,0.642,"[24] described three main schemes from the perspective of rule representation in automated rule checking: rule classication, rule organization, and individual rule interpretation and representation",partially addressed,0.505,integrating nlp and context-free grammar for complex rule interpretation towards automated compliance checking,partially addressed,0.587,model application: intelligent knowledge support for compliance checking building model preparation is an important step for executing automated code com- pliance checking,partially addressed,0.685,model application: intelligent knowledge support for compliance checking building model preparation is an important step for executing automated code com- pliance checking
L. Robaldo et al. 2023,partially addressed,0.553,"the recent contribution in [41] was a seminal work in this sense because, to the best of our knowledge, it is the first work in which several main automated reasoners (seven in total) used in recent research for compliance checking have been compared and evaluated on synthetic datasets of increasing size",partially addressed,0.557,"for instance, [41], and the present paper propose to use shacl rules for automated compliance checking",partially addressed,0.623,"the recent contribution in [41] was a seminal work in this sense because, to the best of our knowledge, it is the first work in which several main automated reasoners (seven in total) used in recent research for compliance checking have been compared and evaluated on synthetic datasets of increasing size",partially addressed,0.618,"they do not have a well-defined model-theoretic interpretation nor, conse- quently, are there automated reasoners able to compute ruleml and legalruleml representations",partially addressed,0.592,these approaches use rdf to model the states of affairs and separate knowledge bases of legal rules encoded in special xml formats such as swrl3 or lkif-rules,not addressed,0.481,"the recent contribution in [41] was a seminal work in this sense because, to the best of our knowledge, it is the first work in which several main automated reasoners (seven in total) used in recent research for compliance checking have been compared and evaluated on synthetic datasets of increasing size",partially addressed,0.62,"the recent contribution in [41] was a seminal work in this sense because, to the best of our knowledge, it is the first work in which several main automated reasoners (seven in total) used in recent research for compliance checking have been compared and evaluated on synthetic datasets of increasing size",partially addressed,0.567,the next section will review some past literature on automated compliance checking,directly addressed,0.743,the next section will review some past literature on automated compliance checking,directly addressed,0.769,the next section will review some past literature on automated compliance checking
M. Yang et al. 2023,partially addressed,0.608,integrating nlp and context-free grammar for complex rule interpretation towards automated compliance checking,partially addressed,0.697,classification of rules for automated bim rule checking development,directly addressed,0.756,a rule-based semantic approach for automated regulatory compliance in the construction sector,directly addressed,0.76,semantic-based logic representation and reasoning for automated regulatory compliance checking,partially addressed,0.696,multi-ontology fusion and rule development to facilitate automated code compliance checking using bim and rule-based reasoning,partially addressed,0.611,a deep neural network-based method for deep information extraction using transfer learning strategies to support automated compliance checking,partially addressed,0.663,development of an object model for automated compliance checking,partially addressed,0.534,development of an object model for automated compliance checking,partially addressed,0.679,development of an object model for automated compliance checking,directly addressed,0.766,development of an object model for automated compliance checking
N. Chen et al. 2024,directly addressed,0.744,"typically, automated rule interpretation methods based on nlp include two tasks: (1) information extractionextracting semantic informa- tion from textual regulatory documents, and (2) information transformationconverting the extracted information into logical clauses to support reasoning in compliance checking",directly addressed,0.781,"this performance improvement not only reduces development and maintenance costs but also expands the application range of the models, which show great potential and advantages in tasks such as extracting structured information from regulatory texts in automated bim compliance checking",directly addressed,0.755,"typically, automated rule interpretation methods based on nlp include two tasks: (1) information extractionextracting semantic informa- tion from textual regulatory documents, and (2) information transformationconverting the extracted information into logical clauses to support reasoning in compliance checking",directly addressed,0.737,"typically, automated rule interpretation methods based on nlp include two tasks: (1) information extractionextracting semantic informa- tion from textual regulatory documents, and (2) information transformationconverting the extracted information into logical clauses to support reasoning in compliance checking",partially addressed,0.694,"by constructing this lightweight domain ontology model, a standardized knowledge representation was provided that enhanced data sharing, reuse, querying, and reasoning ca- pabilities, which are critical for automated compliance checking in the construction industry",partially addressed,0.694,keywords: automated compliance check; large language models (llms); deep learning; ontology knowledge models; bim; design regulations 1,partially addressed,0.668,"the proposed automated compliance checking framework is illustrated in figure 1, de- tailing each step from data input to compliance check result output, ensuring transparency and efficiency throughout the process",partially addressed,0.591,"despite the progress made with nlp and deep learning technologies in automated compliance checking, several key challenges and research gaps remain:  traditional methods: traditional methods are expensive to maintain, difficult to modify, and lack a generalized framework for rules and regulations modeling",directly addressed,0.743,the overall framework of the proposed automated compliance check process,directly addressed,0.795,the overall framework of the proposed automated compliance check process
O. Doukari et al. 2022,partially addressed,0.639,", for either rule detection and representation from regulation texts, or rule execution",directly addressed,0.729,our compliance checking approach is object-centred which makes ifc the file format of choice as it is neutral and open schema enabling use and interchange across a wide range of bim authoring platforms,directly addressed,0.756,a rule-based semantic approach for automated regulatory compliance in the construction sector,directly addressed,0.723,a rule-based semantic approach for automated regulatory compliance in the construction sector,partially addressed,0.637,a rule-based semantic approach for automated regulatory compliance in the construction sector,partially addressed,0.554,a rule-based semantic approach for automated regulatory compliance in the construction sector,partially addressed,0.693,"to overcome the lack of relevant information needed for enabling efficient compliance checking process, the authors proposed: (i) making programmed rules easily understandable and accessible by uk regulation authors, (ii) making the rule base independent of the rule checking software so different rule sets can be used with the same tool, (iii) complying with open standards such as ifc, and (iv) understanding and taking into account the model authoring process while developing such systems",partially addressed,0.55,"they are here explained in further detail:       ai techniques are compliance checking systems based on implementing ai techniques, such as machine learning, pattern recognition, generative design, etc",partially addressed,0.684,"automated compliance checking application in this section, two case studies are presented and processed to demonstrate the efficiency of the object-centred approach",directly addressed,0.766,"as the name suggests, this category does not propose practical solutions, but only general definitions and recommendations for developing desirable compliance checking systems"
P. Hagedorn et al. 2025,partially addressed,0.559,"for instance, in automated regulatory compliance checking, aligning building information mod- els (bim) with regulatory ontologies ensures that both use the same concepts to describe the same objects, thereby facilitating accurate and efficient compliance verification [7,8]",directly addressed,0.766,"for instance, in automated regulatory compliance checking, aligning building information mod- els (bim) with regulatory ontologies ensures that both use the same concepts to describe the same objects, thereby facilitating accurate and efficient compliance verification [7,8]",partially addressed,0.681,"wang, multi-ontology fusion and rule development to facilitate automated code compliance checking using bim and rule-based reasoning, adv",directly addressed,0.713,"wang, multi-ontology fusion and rule development to facilitate automated code compliance checking using bim and rule-based reasoning, adv",directly addressed,0.706,"using ontologies and knowledge graphs (kg), they standardized regulatory concepts and stored them in a geospatial kg",partially addressed,0.545,"wang, multi-ontology fusion and rule development to facilitate automated code compliance checking using bim and rule-based reasoning, adv",partially addressed,0.625,"dimyadi, the promise of automated compliance checking, dev",partially addressed,0.573,"dimyadi, the promise of automated compliance checking, dev",partially addressed,0.676,"dimyadi, the promise of automated compliance checking, dev",directly addressed,0.728,"dimyadi, the promise of automated compliance checking, dev"
P. Patlakas et al. 2024,partially addressed,0.608,"lu, integrating nlp and context-free grammar for complex rule interpretation towards automated compliance checking, comput",partially addressed,0.669,"xing, ontology-based framework for building environmental monitoring and compliance checking under bim environment, build",directly addressed,0.725,"el-gohary, semantic-based logic representation and reasoning for automated regulatory compliance checking, j",directly addressed,0.752,"el-gohary, semantic-based logic representation and reasoning for automated regulatory compliance checking, j",partially addressed,0.694,"wang, multi-ontology fusion and rule development to facilitate automated code compliance checking using bim and rule-based reasoning, adv",partially addressed,0.604,"lu, integrating nlp and context-free grammar for complex rule interpretation towards automated compliance checking, comput",partially addressed,0.659,"el-gohary, semantic-based logic representation and reasoning for automated regulatory compliance checking, j",partially addressed,0.57,"dimyadi, the promise of automated compliance checking, developments in the built environment 5 (2021) 100039, https://doi",partially addressed,0.695,"dimyadi, the promise of automated compliance checking, developments in the built environment 5 (2021) 100039, https://doi",directly addressed,0.782,"greenwood, development of an object model for automated compliance checking, autom"
P. Schonfelder et al. 2024,not addressed,0.49,"looking ahead, future research endeavors should aim to extract semantic information from fire protection concept documents, address class imbalances in symbol detection, automate the registration process, and explore an integrated approach for creating inventories, checklists, and autonomous inspection routes using the proposed method",partially addressed,0.575,"additionally, the inspection results could be used to further enrich the bim model with semantic information about the fse, e",partially addressed,0.58,"for instance, specifications of fire extinguishers could help fire regulation compliance checking",partially addressed,0.552,"for instance, specifications of fire extinguishers could help fire regulation compliance checking",not addressed,0.482,"for instance, specifications of fire extinguishers could help fire regulation compliance checking",not addressed,0.418,"knig, automating the retrospective generation of as-is bim models using machine learning, autom",partially addressed,0.545,"for instance, specifications of fire extinguishers could help fire regulation compliance checking",not addressed,0.463,"it is important to note that automating this part of the proposed pipeline is not within the scope of this study, and, instead, a method based on user interaction is employed",partially addressed,0.521,"such an integrated approach holds the promise of showcasing the full spectrum of automation potentials in safety inspections, providing a robust framework for efficient and accurate assessments",partially addressed,0.501,"such an integrated approach holds the promise of showcasing the full spectrum of automation potentials in safety inspections, providing a robust framework for efficient and accurate assessments"
